SQL> start /home/ggupta/Documents/COEN178L/Labs/Lab5/lab5.sql
Ocampo                    manager                  500000                       
Olmos                     assistant                600000                       
Olson                     supervisor               800000                       
Pate                      assistant                600000                       
Pourmorad                 director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Robertson                 assistant                600000                       
Sabochik                  assistant                600000                       
Sanders                   manager                  500000                       
Shah                      director                 100000                       
Sheehy                    supervisor               800000                       
Swire                     manager                  500000                       
Thorbjornsen              assistant                600000                       
Tucci                     assistant                600000                       
Bassin                    supervisor               800000                       
Bressler                  assistant                600000                       
Carden                    assistant                600000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Douglas                   manager                  500000                       
Dyer                      manager                  500000                       
Earnest                   assistant                600000                       
Firestone                 assistant                600000                       
Hennigan                  assistant                600000                       
Hurley                    manager                  500000                       
Kim                       advisor                  130000                       
King                      director                 100000                       
Kramer                    supervisor               800000                       
Lee                       supervisor               800000                       
Leger                     supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Lorjuste                  director                 100000                       
Witt                      director                 100000                       
McCathran                 clerk                     10000                       
Millison                  manager                  500000                       
Moilanen                  advisor                  130000                       
Nelson                    assistant                600000                       
Rathod                    assistant                600000                       
Reeves                    advisor                  130000                       
Saunders                  director                 100000                       
Schaub                    assistant                600000                       
Tate-Gilmore              supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Abrams                    clerk                     10000                       
Attili                    director                 100000                       
Bernard                   supervisor               800000                       
Beverly                   clerk                     10000                       
Campoverdi                manager                  500000                       
Castillo                  director                 100000                       
Chhabra                   assistant                600000                       
Cusack                    director                 100000                       
DeParle                   clerk                     10000                       
Droege                    assistant                600000                       
Fernkas                   director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Freeman                   supervisor               800000                       
Godfrey                   director                 100000                       
Greenawalt                supervisor               800000                       
Jones                     assistant                600000                       
Jung                      advisor                  130000                       
Kumar                     advisor                  130000                       
Lechtenberg               assistant                600000                       
Lesser                    advisor                  130000                       
Lipton                    assistant                600000                       
Winter                    manager                  500000                       
Luck                      director                 100000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Mack                      assistant                600000                       
Mayekar                   clerk                     10000                       
McLaughlin                manager                  500000                       
Nguyen                    manager                  500000                       
Odintz                    director                 100000                       
Roberts                   manager                  500000                       
Roddick                   manager                  500000                       
Setser                    supervisor               800000                       
Smith                     manager                  500000                       
Stoneman                  assistant                600000                       
Stracko                   manager                  500000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Utech                     assistant                600000                       
Vale                      manager                  500000                       
Vega                      advisor                  130000                       
Andrias                   manager                  500000                       
Baggetto                  supervisor               800000                       
Block                     supervisor               800000                       
Blount                    clerk                     10000                       
Brooke                    manager                  500000                       
Burnough                  advisor                  130000                       
Canery                    manager                  500000                       
Cushman                   supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Fergenson                 clerk                     10000                       
Finkenbinder              manager                  500000                       
Gibbs                     clerk                     10000                       
Hable                     manager                  500000                       
Higginbottom              assistant                600000                       
Johnston                  assistant                600000                       
Keenan                    supervisor               800000                       
Kiley                     manager                  500000                       
Lehrich                   manager                  500000                       
Lipsky                    supervisor               800000                       
Whitty                    supervisor               800000                       

NAME                      TITLE                    SALARY                       
------------------------- -------------------- ----------                       
Williams                  manager                  500000                       
Wong                      supervisor               800000                       

420 rows selected.

==========QUESTION 2==========

Function created.

No errors.

NAME                      TITLE                CURRENTSALARY  NEWSALARY         
------------------------- -------------------- ------------- ----------         
Young                     supervisor                  800000     817000         

==========QUESTION 3==========

Function created.

No errors.

COUNTBYTITLE('DIRECTOR')                                                        
------------------------                                                        
                      73                                                        


COUNTBYTITLE('ADVISOR')                                                         
-----------------------                                                         
                     48                                                         

==========QUESTION 4==========

Procedure created.

No errors.

PL/SQL procedure successfully completed.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      48 04-MAY-20                                       
clerk                        44 04-MAY-20                                       
director                     73 04-MAY-20                                       
assistant                    95 04-MAY-20                                       
manager                      82 04-MAY-20                                       
supervisor                   78 04-MAY-20                                       

6 rows selected.

==========QUESTION 5==========

Trigger created.

No errors.

1 row created.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      49 04-MAY-20                                       
clerk                        44 04-MAY-20                                       
director                     73 04-MAY-20                                       
assistant                    95 04-MAY-20                                       
manager                      82 04-MAY-20                                       
supervisor                   78 04-MAY-20                                       

6 rows selected.

==========QUESTION 6==========

Trigger dropped.


Trigger created.

No errors.

1 row deleted.


TITLE                  EMPCOUNT LASTMODIF                                       
-------------------- ---------- ---------                                       
advisor                      48 04-MAY-20                                       
clerk                        44 04-MAY-20                                       
director                     73 04-MAY-20                                       
assistant                    95 04-MAY-20                                       
manager                      82 04-MAY-20                                       
supervisor                   78 04-MAY-20                                       

6 rows selected.


Table dropped.


Table dropped.


Table dropped.

SQL> spool off;
